"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,1,"سر كلمتي رجالاً وضامر في رحلة الحج",https://www.youtube.com/watch?v=Xr21qBnmZDU,Xr21qBnmZDU,2026-05-26T13:11:23Z,01:24,983,"صوت القارئ : كريم منصوري .
أهلاً بكَ أخي الكريم. السِّياقُ القُرآني في هذه الآيةِ يُعطي هاتين اللَّفظتين مَعانيَ دقيقةً بليغةً، تختلفُ عمّا قد يتبادرُ إلى الذهنِ في الاستعمالِ الدَّارجِ:

مَعْنَى (رِجَالاً):
المَقْصُودُ بها هُنَا: المُشَاةُ عَلَى أَقْدَامِهِمْ (جَمْعُ رَاجِل، مِثْلَ: تَاجِر وَتِجَار، وَصَاحِب وَصِحَاب)، وَلَيْسَ المَقْصُودُ بها الذُّكُورَ (مُقَابِلَ النِّسَاءِ).

اللَّطِيفَةُ البَلَاغِيَّةُ: قَدَّمَ اللهُ تعالى المُشَاةَ (رِجَالاً) عَلَى الرُّكْبَانِ (وَعَلَى كُلِّ ضَامِرٍ)؛ تَشْرِيفاً لَهُمْ، وَتَقْدِيراً لِعِظَمِ جُهْدِهِمْ وَمَشَقَّتِهِمْ فِي السَّيْرِ إِلَى بَيْتِ اللهِ الحَرَامِ.

مَعْنَى (ضَامِرٍ):
الضَّامِرُ هُوَ الحَيَوَانُ المَهْزُولُ نَحِيفُ البَطْنِ، وَالمَقْصُودُ بِهِ هُنَا: الإِبِلُ (الرَّوَاحِلُ) الَّتِي أَنْهَكَهَا السَّفَرُ.

اللَّطِيفَةُ البَلَاغِيَّةُ: هَذَا الضُّمُورُ لَيْسَ عَيْباً فِي المَاشِيَةِ أَوْ مَرَضاً، بَلْ هُوَ ضُمُورُ مَدْحٍ؛ لِأَنَّهُ نَاتِجٌ عَنْ قَطْعِ المَسَافَاتِ الطَّوِيلَةِ وَالفَيافِي القَاحِلَةِ طَاعَةً للهِ وَشَوْقاً لِلْحَجِّ.

فَيَكُونُ المَعْنَى العَامُّ لِلتَّقْسِيمِ فِي الآيَةِ: أَنَّ النَّاسَ سَيَأْتُونَ لِلْحَجِّ عَلَى حَالَيْنِ: إِمَّا مُشَاةً عَلَى أَرْجُلِهِمْ، وَإِمَّا رُكْبَاناً عَلَى إِبِلٍ نَحِيفَةٍ مِنْ طُولِ السَّيْرِ.",https://i.ytimg.com/vi/Xr21qBnmZDU/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,2,"أنشودة الحروف العربية بصوت جميل",https://www.youtube.com/watch?v=jRk56bjqJtk,jRk56bjqJtk,2026-04-18T19:08:13Z,03:28,"5,238","أنشودة الحروف العربية بصوت جميل
تعلم نطق الحروف العربية
إِخْوَانِي وَأَخَوَاتِي أَوْلِيَاءَ الْأُمُورِ.. أَبْنَائِي وَبَنَاتِي الْأَعِزَّاءَ؛ لُغَتُنَا الْعَرَبِيَّةُ هِيَ لُغَةُ الْقُرْآنِ الْكَرِيمِ، لُغَةُ الْجَمَالِ، وَبِدَايَةُ رِحْلَتِنَا فِيهَا تَبْدَأُ مِنْ حُرُوفِ الْهِجَاءِ. الْيَوْمَ سَنَحْفَظُهَا بِلَحْنٍ عَذْبٍ يُسَهِّلُ عَلَيْنَا تَذَكُّرَهَا؛ فَأَنْصِتُوا جَيِّدًا
#تعلم #لغتي_الجميلة #لغتي_هويتي #لغة_عربية #اللغة_العربية_للأطفال 
#حروف_الهجاء #تعليم_الحروف #اللغة_العربية #أطفال #تعلم_العربية #تأسيس_أطفال #حروف_اللغة_العربية #عربي #Alphabet #arabicalphabet #arbic 
#LearnArabic #ArabicForKids #ArabicLetters #HijaiyahLetters #Arabiyah #ArabicSchool #LanguageLearning #EducationalVideo
#تعليم_حروف_الهجاء_بالأغنية
#طريقة_سهلة_لحفظ_الحروف
#تحفيظ_الحروف_العربية_للأطفال
#أغاني_تعليمية_لرياض_الأطفال
#كيف_أعلم_طفلي_الحروف",https://i.ytimg.com/vi/jRk56bjqJtk/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,3,"علامات الاعراب أغنية",https://www.youtube.com/watch?v=MJ2yZrYZvks,MJ2yZrYZvks,2026-04-12T10:46:55Z,02:39,"1,865","أنشودة علامات الاعراب لتسهيل الحفظ",https://i.ytimg.com/vi/MJ2yZrYZvks/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,4,"الاسم المقصور والمنقوص والممدود والصحيح",https://www.youtube.com/watch?v=P0aUlodjRkc,P0aUlodjRkc,2026-04-11T20:40:51Z,02:03,"1,310","الاسم المقصور والمنقوص والممدود والصحيح",https://i.ytimg.com/vi/P0aUlodjRkc/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,5,"أنشودة حروف الجر مع أمثلة #اكسبلور #جديدي #تصميمي #تيك_توك #جديد #لايك",https://www.youtube.com/watch?v=VzTbvKFyF04,VzTbvKFyF04,2026-04-08T15:01:02Z,00:57,"2,749","أنشودة حروف الجر مع أمثلة توضيحية لحروف الجر",https://i.ytimg.com/vi/VzTbvKFyF04/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,6,"أنشودة الأفعال الناسخة كان وأخواتها",https://www.youtube.com/watch?v=vA4J8TEec70,vA4J8TEec70,2026-04-04T16:10:56Z,00:33,"3,851","أنشودة الأفعال الناسخة كان وأخواتها #اكسبلور #جديد #تصميمي",https://i.ytimg.com/vi/vA4J8TEec70/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,7,"أنشودة الحروف الناسخة",https://www.youtube.com/watch?v=Ts4O-O71Oyo,Ts4O-O71Oyo,2026-03-28T19:56:13Z,00:29,"4,693","أنشودة الحروف الناسخة ومعانيها - أنشودة لتبسيط حفظ الحروف الناسخة ومعانيها",https://i.ytimg.com/vi/Ts4O-O71Oyo/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,8,"الأسماء المبنية #اكسبلور #learnarab  #النحو",https://www.youtube.com/watch?v=ZKWbjLxHgcQ,ZKWbjLxHgcQ,2025-12-27T18:50:26Z,01:09,"10,441",,https://i.ytimg.com/vi/ZKWbjLxHgcQ/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,9,"إعراب أنلزمكموها  #تعلم_العربية  #learnarab  #فنون_العربية  #النحو #لغتي_الجميلة #لغتنا_العربية",https://www.youtube.com/watch?v=Kkadrq1-JOs,Kkadrq1-JOs,2025-09-09T18:00:24Z,01:29,"14,562","إعراب أنلزمكموه بالتفصيل",https://i.ytimg.com/vi/Kkadrq1-JOs/hqdefault.jpg,available
"فنون العربية",https://www.youtube.com/@fonon_arabic,UC1Z2SVr3TMB7sPrJDw1D1_g,10,"إعراب فسيكفيكهم الله  #تعلم_العربية #learnarab #فنون_العربية #النحو #لغتي_الجميلة #علم #لغتنا",https://www.youtube.com/watch?v=w8bJ2vBrIPY,w8bJ2vBrIPY,2025-09-07T21:00:52Z,01:30,"10,826","إعراب فسيكفيكهم الله",https://i.ytimg.com/vi/w8bJ2vBrIPY/hqdefault.jpg,available
